Sample,Seebeck at 77oC (350K) µV/K,"Seebeck Max, µV/K","Rho at 77oC (350K), µΩ-m","Rho Max, µΩ-m","PF at 77oC, mW/m K2","PF Max, mW/m K2"
32,67.74,70.28,24.48,28,0.185,0.226
39,25.07,34.78,9.92,11.81,0.062,0.1
26,11.97,14.08,9.2,10.4,0.013,0.023
42,70.28,74.08,23.5,26.59,0.207,0.257
43,64.36,69.85,19.9,22.6,0.216,0.302
72,131.3,135.6,34,35.68,0.03,0.038
61,-13,-24,8.45,9.38,0.022,0.066
63,-17.8,-30,5.63,6.57,0.053,0.127
69,13.7,16,5.63,6.57,0.024,0.038
74,26.19,30.5,15.3,17.13,0.042,0.06
76,59.85,61.77,19.15,21.41,0.178,0.22
78,35.9,40.14,10.98,12.95,0.105,0.15
84,86.6,96.47,21.7,24.5,0.35,0.48
89,131.7,145,58,58.8,0.3,0.39
87,112,124.6,85.07,85.07,0.146,0.178
100,7.3,11,7.98,9.38,0.01,0.02
113,55.7,60.5,33.2,34.1,0.1,0.129
115,35,41,17.5,19.1,0.07,0.09
120,93,95,97,98.6,0.086,0.095
94,-22.5,-34,5.87,6.3,0.08,0.18
96,32,35,14.5,16.4,0.07,0.09
98,6,10.6,20.9,23,0,0.01
104,58.5,61,33.6,37.5,0.1,0.11
105,37,39,25.3,26,0.05,0.07
109,-24.9,-34,5.87,6.3,0.11,0.17
120,-22.5,-31.45,5.37,6.24,0.09,0.155
122,9.67,15.86,14.2,16.26,0.007,0.02
123,14.2,17.18,12.66,14.83,0.016,0.03
124,-4.5,-6.47,14.58,17.04,0.0014,0.0014
125,-27.68,-39.34,5.8,6.64,0.133,0.22
126,36.9,38.87,13.46,15.82,0.1,0.12
127,27.9,31.64,14.3,16.69,0.054,0.07
128,15.5,18.48,12.21,14.04,0.02,0.03
129,4.52,-7.13,8.05,9.16,0.003,0.003
130,-7.7,-20.3,8.27,9.7,0.007,0.04
131,81.5,86.2,36.49,39.5,0.18,0.22
132,65,66.47,28.68,30.6,0.15,0.17
133,47.5,50.7,17.52,20.9,0.13,0.16
134,35.89,38.87,16.72,19.3,0.08,0.09
135,28.5,30.98,13.28,15,0.061,0.076
170,-16.8,-29.95,6.86,8.08,0.044,0.107
171,-14.17,-26,7.48,8.46,0.031,0.085
172,-37.51,-45.73,4.02,4.63,0.35,0.472
173,-36.85,-46.05,5,5.76,0.268,0.37
175,-21.08,-35.58,7.9,8.99,0.056,0.11
177,-12.86,-26,11.9,13.94,0.007,0.007
178,-2.91,-10.89,9.4,10.71,0.001,0.005
180,-4.88,-8.92,12.3,14.09,0.002,0.005
169,-12.53,-26,14.6,16.64,0.012,0.037
170,-12.53,-26,14.6,16.64,0.012,0.037
171,-12.53,-26,14.6,16.64,0.012,0.037
172,-12.53,-26,14.6,16.64,0.012,0.037
173,-12.53,-26,14.6,16.64,0.012,0.037
174,-12.53,-26,14.6,16.64,0.012,0.037
175,-12.53,-26,14.6,16.64,0.012,0.037
176,-12.53,-26,14.6,16.64,0.012,0.037
177,-12.53,-26,14.6,16.64,0.012,0.037
178,-12.53,-26,14.6,16.64,0.012,0.037
179,-12.53,-26,14.6,16.64,0.012,0.037
181,-1.17,-13.7,15.25,17.61,0.001,0.012
182,-6.36,-19.5,10.68,12.32,0.004,0.028
183,-11.54,-25.28,10.68,12.32,0.06,0.052
184,-31.7,-40.42,6.69,7.63,0.157,0.223
185,-31.7,-41.45,4.22,4.69,0.246,0.349
186,-31.97,-42.67,4.92,5.68,0.2,0.317
188,-10.84,-23.52,8.08,9.28,0.0112,0.06
168,-17.32,-13.56,7.1,8.08,0.043,0.11
136,-3.2,-17,14.55,18.84,0.002,0.015
137,-9.1,-18.3,12.67,14.55,0.003,0.02
138,-15,-25.5,11.26,12.91,0.02,0.046
139,-22,-29,7.98,9.4,0.052,0.073
140,-25,-37,4.9,5.63,0.111,0.212
141,34,37,13.6,16.43,0.08,0.1
142,40.84,44.8,16.7,19.7,0.093,0.129
143,19.1,22.4,10.09,11.03,0.034,0.05
144,6.6,11.92,8.7,10.09,0.005,0.02
145,-3.2,-15,6.1,7.24,0.002,0.028
146,55.3,61.87,38.3,42.5,0.082,0.114
147,82.3,86.2,40.1,43.4,0.165,0.202
148,63.19,67.8,21.4,24.2,0.185,0.234
149,63.19,64.5,25.1,28.2,0.16,0.186
150,44.7,50.7,16.7,19.01,0.184,0.17
151,1.78,-11.7,10.5,11.8,0.001,0.01
152,39.3,40,28.9,38.4,0.05,0.058
153,6.3,11.5,13.8,17.08,0.004,0.009
154,29.5,32.5,15.8,17.74,0.053,0.07
155,16,19.8,14.46,16.43,0.016,0.029
156,50.6,56.6,32.2,36.15,0.08,0.11
157,88.9,97.9,53.2,57.8,0.15,0.2
158,64.9,73.9,25.7,27.6,0.169,0.231
159,50.6,56.6,17.7,20.4,0.15,0.19
160,39.3,39.3,10.5,11.8,0.135,0.162
161,123,133,100,106,0.148,0.188
162,93,105,135,137,0.063,0.09
163,102,112,124,126,0.083,0.109
164,102,111,75.6,78.2,0.12,0.164
165,95,102,50.6,56,0.175,0.21